Channel Id,Channel Url,Channel Title
UCGH0yYPvlCN1VjSFMGVmFgQ,http://www.youtube.com/channel/UCGH0yYPvlCN1VjSFMGVmFgQ,Anton Babenko
UCGHZpIpAWJQ-Jy_CeCdXhMA,http://www.youtube.com/channel/UCGHZpIpAWJQ-Jy_CeCdXhMA,Cool Worlds
UCGT_BYcMHygJYqYWZjGx68A,http://www.youtube.com/channel/UCGT_BYcMHygJYqYWZjGx68A,GROWTH™
UCGoNAEk8joHDkSdt2uCcEJw,http://www.youtube.com/channel/UCGoNAEk8joHDkSdt2uCcEJw,Andrey Fadeev
UCGvIBxqin_rx3sY9qacQEhQ,http://www.youtube.com/channel/UCGvIBxqin_rx3sY9qacQEhQ,Mashed
UCHQDjDDW8w2RieO-IuqYlyg,http://www.youtube.com/channel/UCHQDjDDW8w2RieO-IuqYlyg,AMD
UCHUFT-twNWoPODKGixo1E6w,http://www.youtube.com/channel/UCHUFT-twNWoPODKGixo1E6w,Clojure Diary
UCHnBsf2rH-K7pn09rb3qvkA,http://www.youtube.com/channel/UCHnBsf2rH-K7pn09rb3qvkA,CMU Database Group
UCHnyfMqiRRG1u-2MsSQLbXA,http://www.youtube.com/channel/UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium
UCHugE6eRhqB9_AZQh4DDbIw,http://www.youtube.com/channel/UCHugE6eRhqB9_AZQh4DDbIw,Jupiter Broadcasting
UCI0vQvr9aFn27yR6Ej6n5UA,http://www.youtube.com/channel/UCI0vQvr9aFn27yR6Ej6n5UA,Real Python
UCI14aiXuU8zQRolCS5ZrSFg,http://www.youtube.com/channel/UCI14aiXuU8zQRolCS5ZrSFg,The Long Shadow
UCI9uFLJ__aXT3-At0PlPWUQ,http://www.youtube.com/channel/UCI9uFLJ__aXT3-At0PlPWUQ,AA Grapevine
UCIALMKvObZNtJ6AmdCLP7Lg,http://www.youtube.com/channel/UCIALMKvObZNtJ6AmdCLP7Lg,Bloomberg Television
UCIEv3lZ_tNXHzL3ox-_uUGQ,http://www.youtube.com/channel/UCIEv3lZ_tNXHzL3ox-_uUGQ,Gordon Ramsay
UCIFtADcWrOApqrsinzPoOfA,http://www.youtube.com/channel/UCIFtADcWrOApqrsinzPoOfA,Destiny
UCIMXKin1fXXCeq2UJePJEog,http://www.youtube.com/channel/UCIMXKin1fXXCeq2UJePJEog,My Self Reliance
UCIOfoptCwOUiE-hnjrhl21Q,http://www.youtube.com/channel/UCIOfoptCwOUiE-hnjrhl21Q,liamcarps
UCIYy93WU21dwZlC-i0CMaLw,http://www.youtube.com/channel/UCIYy93WU21dwZlC-i0CMaLw,Patio Pizza
UCIhJnsJ0IHlVNnYfp-gw_5Q,http://www.youtube.com/channel/UCIhJnsJ0IHlVNnYfp-gw_5Q,Cal Newport
UCIjIAXXsX4YMYeFj-LP42-Q,http://www.youtube.com/channel/UCIjIAXXsX4YMYeFj-LP42-Q,Anthony GG
UCIjuLiLHdFxYtFmWlbTGQRQ,http://www.youtube.com/channel/UCIjuLiLHdFxYtFmWlbTGQRQ,Peter Schiff
UCIma2WOQs1Mz2AuOt6wRSUw,http://www.youtube.com/channel/UCIma2WOQs1Mz2AuOt6wRSUw,KenDBerryMD
UCJ901NqoRaXMnIm7aOjLyuA,http://www.youtube.com/channel/UCJ901NqoRaXMnIm7aOjLyuA,Fallow
UCJ9905MRHxwLZ2jeNQGIWxA,http://www.youtube.com/channel/UCJ9905MRHxwLZ2jeNQGIWxA,Microsoft Mechanics
UCJJb04Ff2H2o6CPMUbvEJrA,http://www.youtube.com/channel/UCJJb04Ff2H2o6CPMUbvEJrA,mbmmllc
UCJLLl6AraX1POemgLfhirwg,http://www.youtube.com/channel/UCJLLl6AraX1POemgLfhirwg,Bits inside by René Rebe
UCJLZe_NoiG0hT7QCX_9vmqw,http://www.youtube.com/channel/UCJLZe_NoiG0hT7QCX_9vmqw,I did a thing
UCJNoPkgW0KSKzBHgFJ3VRtQ,http://www.youtube.com/channel/UCJNoPkgW0KSKzBHgFJ3VRtQ,Jetson
UCJS9pqu9BzkAMNTmzNMNhvg,http://www.youtube.com/channel/UCJS9pqu9BzkAMNTmzNMNhvg,Google Cloud Tech
UCJWKjrrUh2KL1d3zXQW79cQ,http://www.youtube.com/channel/UCJWKjrrUh2KL1d3zXQW79cQ,EXPLORE WITH US
UCJjTpZCiHTd9lqYWsWge1_g,http://www.youtube.com/channel/UCJjTpZCiHTd9lqYWsWge1_g,BibleProject Podcast
UCJx0-F6jXlR1vIw2t78XIiA,http://www.youtube.com/channel/UCJx0-F6jXlR1vIw2t78XIiA,Ken Kenobi 
UCK-JYMQjxA144jMOPu7FJhg,http://www.youtube.com/channel/UCK-JYMQjxA144jMOPu7FJhg,Slight Reliability
UCKFtfFitaK83yBc0rlg9m1A,http://www.youtube.com/channel/UCKFtfFitaK83yBc0rlg9m1A,Paul Cuffaro
UCKWaEZ-_VweaEx1j62do_vQ,http://www.youtube.com/channel/UCKWaEZ-_VweaEx1j62do_vQ,IBM Technology
UCKjVI0LawDxHaXSBMBOK1tA,http://www.youtube.com/channel/UCKjVI0LawDxHaXSBMBOK1tA,Platform Engineering
UCKp6m5XlXZp4cxmprybkFBw,http://www.youtube.com/channel/UCKp6m5XlXZp4cxmprybkFBw,PSR
UCKr68ZJ4vv6VloNdnS2hjhA,http://www.youtube.com/channel/UCKr68ZJ4vv6VloNdnS2hjhA,Harald Baldr
UCKxH-68qOBjHonm8PLtXUXA,http://www.youtube.com/channel/UCKxH-68qOBjHonm8PLtXUXA,Freda Ayy
UCL0J4MLEdLP0-UyLu0hCktg,http://www.youtube.com/channel/UCL0J4MLEdLP0-UyLu0hCktg,The Defiant
UCLA_DiR1FfKNvjuUpBHmylQ,http://www.youtube.com/channel/UCLA_DiR1FfKNvjuUpBHmylQ,NASA
UCL_f53ZEJxp8TtlOkHwMV9Q,http://www.youtube.com/channel/UCL_f53ZEJxp8TtlOkHwMV9Q,Jordan B Peterson
UCLe_q9axMaeTbjN0hy1Z9xA,http://www.youtube.com/channel/UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer
UCLv7Gzc3VTO6ggFlXY0sOyw,http://www.youtube.com/channel/UCLv7Gzc3VTO6ggFlXY0sOyw,Harvard University
UCMKIroHVXvMQRIBhENE6RhQ,http://www.youtube.com/channel/UCMKIroHVXvMQRIBhENE6RhQ,DistSys Reading Group
UCMOFHuVzh3n_JBgICCgtnCg,http://www.youtube.com/channel/UCMOFHuVzh3n_JBgICCgtnCg,Derek Paravicini
UCMSoRpgXRxhiSna6FkhTGeg,http://www.youtube.com/channel/UCMSoRpgXRxhiSna6FkhTGeg,CIDR DB
UCMV3aTOwUtG5vwfH9_rzb2w,http://www.youtube.com/channel/UCMV3aTOwUtG5vwfH9_rzb2w,Spark
UCMYhvss0LFHG6DjDtX_gs-A,http://www.youtube.com/channel/UCMYhvss0LFHG6DjDtX_gs-A,Overthink Podcast
UCMa8rcWxKsR6ywCwEAjOz0A,http://www.youtube.com/channel/UCMa8rcWxKsR6ywCwEAjOz0A,pandasakha
UCMf7pje1x5iZkkEF-Y3PLSA,http://www.youtube.com/channel/UCMf7pje1x5iZkkEF-Y3PLSA,TechTalk with Bill
UCMtZ0sc1HHNtGGWZFDRTh5A,http://www.youtube.com/channel/UCMtZ0sc1HHNtGGWZFDRTh5A,GitLab Unfiltered
UCMyOj6fhvKFMjxUCp3b_3gA,http://www.youtube.com/channel/UCMyOj6fhvKFMjxUCp3b_3gA,Nick DiGiovanni
UCN7LL0dEffQ7FSjbY5wwlnw,http://www.youtube.com/channel/UCN7LL0dEffQ7FSjbY5wwlnw,SessionTV
UCNE5M24kntfdOeQjDznxyxg,http://www.youtube.com/channel/UCNE5M24kntfdOeQjDznxyxg,Chinfamilyfromjamaica 
UCNJ1Ymd5yFuUPtn21xtRbbw,http://www.youtube.com/channel/UCNJ1Ymd5yFuUPtn21xtRbbw,AI Explained
UCNR05H72hi692y01bWaFXNA,http://www.youtube.com/channel/UCNR05H72hi692y01bWaFXNA,Mattermost
UCNepEAWZH0TBu7dkxIbluDw,http://www.youtube.com/channel/UCNepEAWZH0TBu7dkxIbluDw,"Dad, how do I?"
UCNjxp-gVARpCBCN99oCIZGw,http://www.youtube.com/channel/UCNjxp-gVARpCBCN99oCIZGw,meownadic
